File Path,Type,Description,Purpose,Imports,Imported By
.coveragerc,Config,Coverage configuration,Configures test coverage reporting,,
.devcontainer/,Directory,Development container configuration,Docker dev environment setup,,
.gitignore,Config,Git ignore rules,Specifies files to exclude from version control,,
.pre-commit-config.yaml,Config,Pre-commit hooks configuration,Automates code quality checks,,
.pytest_cache/,Directory,Pytest cache,Stores test cache data,,
.vscode/,Directory,VS Code settings,IDE configuration,,
.windsurfrules,Config,Windsurfer rules,Windsurfer AI assistant configuration,,
documentation/,Directory,Project documentation,Contains all project documentation,,
documentation/LICENSE,Legal,License file,Project license information,,
documentation/PROPOSED_FILE_STRUCTURE_CLEANUP.md,Documentation,File structure cleanup plan,Proposed reorganisation of project files,,
documentation/README.md,Documentation,Documentation readme,Guide to documentation structure,,
documentation/analysis/,Directory,Analysis reports,Contains code quality and analysis reports,,
documentation/analysis/CODE_QUALITY_ANALYSIS_2025-05-25.md,Documentation,Code quality analysis report,Analysis of code quality issues,,
documentation/file_structure_map.csv,Data,File structure documentation,This file - maps all project files,,
documentation/naming_map.csv,Data,Naming conventions map,Maps old names to new names,,
documentation/planning/,Directory,Planning documents,Contains project planning documents,,
documentation/planning/SENSITIVITY_RENDER_REFACTORING_PLAN.md,Documentation,Refactoring plan,Plan for sensitivity render refactoring,,
pytest.ini,Config,Pytest configuration,Test runner configuration,,
reports/,Directory,Generated reports,Contains all generated reports (gitignored),,
reports/coverage/,Directory,Coverage reports,Test coverage reports,,
reports/coverage/coverage.json,Report,Coverage data,JSON format coverage data,,
reports/quality/,Directory,Quality reports,Code quality reports,,
reports/quality/jscpd-report.json,Report,Duplicate code report,JSCPD duplicate detection results,,
requirements.txt,Config,Python dependencies,Root level dependencies,,
tco_app/,Directory,Main application,Core TCO application code,,
tco_app/README.md,Documentation,App documentation,Application-specific documentation,,
tco_app/__init__.py,Code,Package initialiser,Makes tco_app a Python package,,tco_app.src
tco_app/assets/,Directory,Static assets,Images and static files,,
tco_app/data/,Directory,Data files,Application data files,,
tco_app/data/dictionary/,Directory,Data dictionaries,Parameter definitions,,
tco_app/data/tables/,Directory,Data tables,CSV data files,,
