current_name,next_name,notes
vehicle_drivetrain,drivetrain,"Snake_case retained but future-proofed constant Drivetrain enum introduced"
BEV,bev,"Enum Drivetrain.BEV replaces magic string"
Diesel,diesel,"Enum Drivetrain.DIESEL replaces magic string"
All,all,"Enum Drivetrain.ALL replaces magic string"
msrp_price,msrp_price,"Already snake_case – unchanged"
price_parity_year,price_parity_year,"Already snake_case – unchanged"
battery_capacity_kwh,battery_capacity_kwh,"Already consistent, noted for completeness" 
Drivetrain,Drivetrain,"Already compliant"
FuelType,FuelType,"Already compliant"
EmissionStandard,EmissionStandard,"Already compliant"
DataColumns,DataColumns,"Already compliant"
ParameterKeys,ParameterKeys,"Already compliant"
IncentiveTypes,IncentiveTypes,"Already compliant"
CalculationDefaults,CalculationDefaults,"Already compliant"
ValidationLimits,ValidationLimits,"Already compliant"
UIConfig,UIConfig,"Already compliant"
PerformanceConfig,PerformanceConfig,"Already compliant"
EmissionConstants,EmissionConstants,"Already compliant"
ScenarioModification,ScenarioModification,"Already compliant"
CalculationParameters,CalculationParameters,"Already compliant"
CalculationRequest,CalculationRequest,"Already compliant"
TCOResult,TCOResult,"Already compliant"
ComparisonResult,ComparisonResult,"Already compliant"
VehicleRepository,VehicleRepository,"Already compliant"
ParametersRepository,ParametersRepository,"Already compliant"
ParameterRepository,ParametersRepository,"RENAMED: Changed from singular to plural for consistency"
FinancialParameters,FinancialParameters,"Already compliant"
BatteryParameters,BatteryParameters,"Already compliant"
DataCache,DataCache,"Already compliant"
ScenarioApplicationService,ScenarioApplicationService,"Already compliant"
TCOCalculationService,TCOCalculationService,"Already compliant"
weighted_electricity_price,weighted_electricity_price,"Already compliant"
calculate_energy_costs,calculate_energy_costs,"DUPLICATE RESOLVED: Removed from src/utils/energy.py, now only in domain/energy.py"
calculate_emissions,calculate_emissions,"DUPLICATE RESOLVED: Removed from src/utils/energy.py, now only in domain/energy.py"
calculate_charging_requirements,calculate_charging_requirements,"Already compliant"
calculate_npv,calculate_npv,"Already compliant"
calculate_npv_optimised,calculate_npv_optimised,"Already compliant"
cumulative_cost_curve,cumulative_cost_curve,"Already compliant"
price_parity_year,price_parity_year,"Already compliant"
calculate_residual_value,calculate_residual_value,"Already compliant"
calculate_annual_costs,calculate_annual_costs,"Already compliant"
calculate_acquisition_cost,calculate_acquisition_cost,"Already compliant"
calculate_tco,calculate_tco,"Already compliant"
calculate_infrastructure_costs,calculate_infrastructure_costs,"Already compliant"
apply_infrastructure_incentives,apply_infrastructure_incentives,"Already compliant"
integrate_infrastructure_with_tco,integrate_infrastructure_with_tco,"Already compliant"
calculate_payload_penalty_costs,calculate_payload_penalty_costs,"Proxy pattern: domain/finance.py proxies to domain/finance_payload.py"
calculate_externalities,calculate_externalities,"Already compliant"
calculate_social_tco,calculate_social_tco,"Already compliant"
prepare_externality_comparison,prepare_externality_comparison,"Already compliant"
calculate_social_benefit_metrics,calculate_social_benefit_metrics,"Already compliant"
perform_externality_sensitivity,perform_externality_sensitivity,"Already compliant"
perform_sensitivity_analysis,perform_sensitivity_analysis,"Already compliant"
calculate_tornado_data,calculate_tornado_data,"Already compliant"
calculate_battery_replacement,calculate_battery_replacement,"Already compliant"
npv_constant,npv_constant,"Already compliant"
safe_iloc_zero,safe_iloc_zero,"REFACTORED: Now a simple wrapper around enhanced safe_get_first"
safe_lookup_vehicle,safe_lookup_vehicle,"Already compliant"
safe_division,safe_division,"Already compliant"
safe_calculate,safe_calculate,"Already compliant"
validate_dataframe_columns,validate_dataframe_columns,"Already compliant"
safe_get_parameter,safe_get_parameter,"REFACTORED: Now uses enhanced get_parameter_value internally"
safe_get_charging_option,safe_get_charging_option,"Already compliant"
to_scalar,to_scalar,"Already compliant"
safe_get_first,safe_get_first,"ENHANCED: Now supports both default-return and error-throwing modes"
get_parameter_value,get_parameter_value,"ENHANCED: Now supports raise_on_missing parameter"
fast_npv,fast_npv,"Already compliant"
vectorised_annual_costs,vectorised_annual_costs,"Already compliant"
batch_vehicle_lookup,batch_vehicle_lookup,"Already compliant"
fast_discount_factors,fast_discount_factors,"Already compliant"
optimised_tco_calculation,optimised_tco_calculation,"Already compliant"
batch_parameter_lookup,batch_parameter_lookup,"Already compliant"
fast_cumulative_sum,fast_cumulative_sum,"Already compliant"
optimised_emissions_calculation,optimised_emissions_calculation,"Already compliant"
get_residual_value_parameters,get_residual_value_parameters,"Already compliant"
convert_tco_result_to_model_runner_dict,convert_tco_result_to_model_runner_dict,"Already compliant"
run_model,run_model,"Already compliant"
apply_scenario_parameters,apply_scenario_parameters,"Already compliant"
display_scenario_parameters,display_scenario_parameters,"Already compliant"
ContextDirector,ContextDirector,"New: UI context building orchestrator"
SidebarRenderer,SidebarRenderer,"New: Sidebar rendering component"
ChargingConfigurationBuilder,ChargingConfigurationBuilder,"New: Builder for charging configuration"
InfrastructureBuilder,InfrastructureBuilder,"New: Builder for infrastructure configuration"
VehicleSelectionBuilder,VehicleSelectionBuilder,"New: Builder for vehicle selection"
ScenarioBuilder,ScenarioBuilder,"New: Builder for scenario selection"
ParameterInputBuilder,ParameterInputBuilder,"New: Builder for parameter inputs"
CalculationOrchestrator,CalculationOrchestrator,"New: Orchestrates TCO calculations"
SensitivityContext,SensitivityContext,"New: Context for sensitivity analysis"
ParameterRangeCalculator,ParameterRangeCalculator,"New: Calculates parameter ranges for sensitivity"
